,abstract,id,title
0,,30724982,Rol de la cirugía bariátrica/metabólica en el manejo de la diabetes mellitus 2. Consenso SOCHED/SCCBM.
1,,30337047,Importancia del tracto gastrointestinal en la diabetes de tipo 2. La cirugía metabólica es más que incretinas.
2,"INTRODUCCIÓN: la cirugía bariátrica no beneficia a todos los pacientes. Identificar a los pacientes gravemente obesos que tendrán éxito después de la cirugía bariátrica sigue siendo un reto para el equipo transdiciplinario. El objetivo de este estudio retrospectivo fue analizar factores dietéticos preoperatorios que pudieran predecir una pérdida de peso exitosa después de la cirugía bariátrica. MÉTODOS: el estudio retrospectivo incluyó a pacientes sometidos a una cirugía de bypass gástrico laparoscópico en Y de Roux como procedimiento para obesidad severa (n = 84). Datos demográficos del paciente, comorbilidades, factores dietéticos y los resultados de pérdida de peso se extrajeron de la historia clínica electrónica. RESULTADOS: la diabetes mellitus tipo 2 (DM2) se asoció con una pérdida subóptima de peso después de una cirugía de bypass gástrico laparoscópicoen Y de Roux. CONCLUSIONES: aunque la cirugía bariátrica sigue siendo el tratamiento más efectivo para los pacientes con obesidad severa, es fundamental desarrollar estrategias para mejorar y mantener la pérdida de peso, especialmente en pacientes con DM2. Evaluar las características dietéticas de los candidatos a cirugía bariátrica es crucial. ",30307291,Diabetes mellitus tipo 2 podría predecir una pérdida subóptima de peso después de una cirugía bariátrica.
3,,29605451,Consultas a Urgencias y reingresos a 30 y 90 días tras cirugía bariátrica.
4,,30605186,Prevalencia de patología psiquiátrica en población candidata a cirugía de la obesidad: experiencia en valoración psiquiátrica en Hospital Público en el contexto de un equipo multidisciplinario de tratamiento de obesidad mórbida.
5,,29459004,¿Puede el acondicionamiento gástrico disminuir la incidencia de dehiscencia anastomótica esofagogástrica cervical?
6,,28874313,Nuevas perspectivas terapéuticas en la esteatohepatitis no alcohólica.
7,,30361718,High-protein diet in morbidity obesity patient before bariatric surgery.
8,,30067711,Metabolic changes in obese patients after laparoscopic gastric bypass: five-year experience in a tertiary referral hospital.
9,,29395108,Estudio de las complicaciones de la cirugía bariátrica por tomografía computarizada multidetector con contraste intravenoso.
10,,29950733,Changes in the sexual health of obese patients after bariatric surgery.
11,,29096873,Satisfacción sexual tras cirugía bariátrica: estudio observacional prospectivo.
12,,28431750,Anestesia libre de opioides: ¿un cambio de paradigma?
13,"México posee una de las más altas prevalencias de obesidad severa en el mundo. La mortalidad por causas cardiovasculares en estos pacientes alcanza el 90%. Existen distintas escalas para valorar el riesgo, como la escala de Framingham que evalúa a 10 años, y la ASCVD10 que evalúa a 10 años y a lo largo de la vida. Ninguna se ha usado para evaluar el riesgo cardiovascular en mexicanos con obesidad severa antes y después de la cirugía bariátrica. se efectuó un estudio cuasiexperimental con 109 pacientes con obesidad severa, con evaluación antropométrica y bioquímica, antes y un año después de la cirugía bariátrica. Se obtuvo el puntaje de riesgo con las escalas de Framingham y ASCVD10. la mediana de edad fue 45.3 ± 10.1 años, 70% eran mujeres, en 79% se realizó bypass laparoscópico con Y de Roux. Hubo disminución de peso en cada evaluación posterior a la cirugía, independientemente del procedimiento, y mejoría en todos los parámetros bioquímicos. El riesgo evaluado por Framingham disminuyó de 9.4 a 5.9%, el porcentaje de pacientes de “alto riesgo” disminuyó de 25 a 11%; con respecto al riesgo evaluado por ASCVD10 se redujo de 4.1 a 2.5%, con porcentaje de pacientes de alto riesgo que disminuyó de 28 a 16%. El tabaquismo fue el mayor determinante de riesgo cardiovascular. el riesgo cardiovascular evaluado por ambas escalas disminuyó un año después de la cirugía bariátrica. ",29193936,Evaluación de factores de riesgo cardiovascular antes y después de cirugía bariátrica.
14,,28765660,Evolución de la calidad de vida a los 24 meses de seguimiento en pacientes sometidos a cirugía bariátrica: comparación entre el bypass gástrico y la gastrectomía vertical tubular.
15,"El propósito del estudio fue analizar y describir las características psicológicas, metabólicas, antropométricas y de condición física de obesos candidatos a cirugía bariátrica, para determinar la intervención preoperatoria. La población está conformada por 24 obesos candidatos a cirugía bariátrica; cinco hombres y 19 mujeres entre 21 y 60 años. La muestra es de tipo no-probabilística, con sujetos elegidos de manera no aleatoria por conveniencia y voluntarios. Se evaluaron variables psicológicas, antropométricas, metabólicas y de condición física. La edad promedio de los participantes corresponde a 41,0 años. En el estudio se evidencian bajos niveles en alegría empática. Los síntomas ansiosos presentaron un nivel medio: El 62,5 % presentó depresión mínima, el 29,1 % depresión leve, y el 8,4 % depresión modera. El peso corporal tuvo un promedio de 99,1 kilogramos, la talla de 1,6 metros, el Índice de Masa Coporal (IMC) de 39,3, el porcentaje de masa grasa un promedio de 41,1 y el contorno cintura de 118,0 centímetros. Con respecto a los valores plasmáticos (mg/dl) se obtuvo: colesterol total 192,9, colesterol LDL 120,0, colesterol HDL 43,3, triglicéridos 182,3, Glicemia a 105,9; y la distancia recorrida en seis minutos fue de 511,9 metros. Los resultados aportan información para determinar mejores estrategias de intervención preoperatorias, cambiando así los estilos de vida de los pacientes; logrando que la pérdida de peso post operatoria se sostenga en el tiempo. ",30183858,Diagnóstico integral en pacientes obesos mórbidos candidatos a cirugía bariátrica y sugerencias para su tratamiento preoperatorio.
16,,28325497,Factores predictivos de pérdida ponderal tras la gastrectomía vertical. Estudio multicéntrico hispano-portugués.
17,,27543006,"Prevención, diagnóstico y tratamiento de la obesidad. Posicionamiento de la Sociedad Española para el Estudio de la Obesidad de 2016."
18,,27745965,Papel del digestólogo en el manejo del paciente obeso.
19,,28750780,Influencia de variables psicológicas en pacientes obesos mórbidos operados con cirugía bariátrica tras 24 meses de evolución.
20,,28440769,Productos finales de glicación avanzada en la obesidad mórbida y tras la cirugía bariátrica: cuando la memoria glucémica empieza a fallar.
21,,27979315,Criterios de calidad en cirugía bariátrica: revisión de conjunto y recomendaciones de la Asociación Española de Cirujanos y de la Sociedad Española de Cirugía de la Obesidad.
22,,27842762,Evolución de los pacientes con diabetes mellitus tipo 2 e intolerancia a los carbohidratos posterior a cirugía bariátrica en la población mexicana.
23,,27769598,Declaración sobre el tratamiento actual de la obesidad grave en España.
24,,28760227,Importancia del peso en el control del paciente con diabetes mellitus tipo 2: hacia una visión adipocéntrica del abordaje de la diabetes.
25,,26678166,Utilidad del ecocardiograma preoperatorio en el paciente con obesidad mórbida.
26,,26769519,"Resultados, controversias, y volumen gástrico después de la gastrectomía vertical laparoscópica en el tratamiento de la obesidad."
27,,28060979,Suicidio y cirugía bariátrica: un estudio de la evidencia.
28,,27346598,Comentarios sobre «Hipercarotinemia tras cirugía bariátrica».
29,,27349333,Comentarios a «Hipercarotinemia tras cirugía bariátrica».
30,,27571655,"Valoración del riesgo cardiovascular después de gastrectomía vertical: comparativa del IMC, la adiposidad, el índice de Framingham y el índice aterogénico como marcadores del éxito de la cirugía."
31,,27401376,Utilidad del estudio contrastado precoz del tracto digestivo superior después de cirugía bariátrica: ¿se justifica su uso rutinario?
32,,27125617,Las variaciones en cholesterol-HDL tras bypass gástrico proximal son independientes de la evolución ponderal.
33,,26707545,Hernia gástrica secundaria a gastroplastia tubular plicada.
34,,27384631,Intervención psicológica a candidatos de cirugía bariátrica en un hospital público de Brasil.
35,"la obesidad mórbida disminuye considerablemente la esperanza y la calidad de vida. el objetivo del estudio fue determinar los efectos del ejercicio físico con apoyo multidisciplinar sobre el estado nutricional, la capacidad cardiorrespiratoria y la presión arterial de obesos mórbidos candidatos a cirugía a bariátrica. doce mujeres y un hombre entre 18 y 60 años candidatos a cirugía bariátrica, 10 con obesidad mórbida y 3 con obesidad y comorbilidades, fueron sometidos a un programa de ejercicio físico con educación nutricional y apoyo psicológico durante 5 meses. Peso corporal, índice de masa corporal (IMC), contorno de cintura (CC), capacidad cardiorrespiratoria, presión arterial sistólica y diastólica fueron evaluados antes y posterior a la intervención. el promedio de edad de los participantes de la investigación fue de 49,92 años, el de altura fue 1,62 m. Todas las variables de estudio mejoraron significativamente (p < 0,05): peso (p = 0,000), IMC (p = 0,000), CC (p = 0,005), capacidad cardiorrespiratoria (p = 0,009), presión sistólica (p = 0,006) y presión arterial diastólica (p = 0,010). La capacidad cardiorrespiratoria aumentó un 9,17%, la presión arterial diastólica y sistólica disminuyeron 5,16% y 7,68% respectivamente. El IMC disminuyó un 8,39% y el CC un 6,63%. el programa mejoró los niveles de presión arterial sistólica y diastólica y la capacidad cardiorrespiratoria, esto se vio complementado por la pérdida de peso significativa en los participantes de esta investigación. El ejercicio físico con apoyo multidisciplinar demuestra beneficios para el tratamiento preoperatorio produciendo adaptaciones favorables en los factores de riesgo cardiovascular. ",27019243,"Variaciones en el estado nutricional, presión arterial y capacidad cardiorrespiratoria de obesos candidatos a cirugía bariátrica: beneficios del ejercicio físico con apoyo multidisciplinar."
36,,26611153,"Diagnóstico y tratamiento del déficit de hierro, con o sin anemia, pre y poscirugía bariátrica."
37,"Introducción: el 3 % de la población mexicana padece obesidad extrema. Sus comorbilidades disminuyen la calidad de vida, aumentan la mortalidad y los costos de atención médica. El único tratamiento con resultados a largo plazo es la cirugía bariátrica, aunque tiene indicaciones y riesgos específicos. Buscamos evaluar las características de los pacientes de cirugía bariátrica al inicio y un año después del tratamiento quirúrgico. Métodos: estudio cuasi experimental con los datos antropométricos, clínicos y bioquímicos de una muestra de pacientes operados en la Clínica de Obesidad del Hospital de Especialidades del Centro Médico Nacional de marzo del 2011 a octubre del 2015. Resultados: fueron analizados 150 pacientes (60 % mujeres), la media de edad fue de 41 ± 9 años y el índice de masa corporal (IMC) de 48 kg/m2 (42-53 kg/m2). Previo a la cirugía, 31 % tenía diabetes mellitus tipo 2 (DM2) y 62 % hipertensión arterial (HAS). El 30 % eran obesos “metabólicamente sanos”. Un año después de la cirugía el porcentaje del exceso de peso perdido fue de 66 %. La remisión de DM2 y HAS fue de 70 y 50 %, respectivamente. Conclusión: la cirugía bariátrica es efectiva en la pérdida de peso y en la mejoría de parámetros bioquímicos y clínicos en pacientes con obesidad extrema. ",27561014,Características clínicas y bioquímicas de pacientes con obesidad extrema al ingreso y un año después de someterse a cirugía bariátrica.
38,"Introducción: en Chile una alta prevalencia de mujeres presenta obesidad morbida; esta condicion genera serias complicaciones medicas y elevados costes para la salud publica. Objetivo: determinar los efectos de un programa de tratamiento integral compuesto de ejercicio fisico, terapia psicologica y educacion nutricional sobre las condiciones preoperatorias de mujeres obesas candidatas a cirugia bariatrica. Material y métodos: diecinueve mujeres entre 30 y 55 anos postulantes a cirugia bariatrica, con obesidad morbida (n = 6) u obesidad y comorbilidades (n=13), se sometieron a un programa de tratamiento integral de dieciseis semanas de duracion (3 sesiones/semana). Antes y 72 horas despues de la ultima sesion de intervencion se evaluo (en ayuno ≥ 12 horas): peso corporal, indice de masa corporal (IMC), porcentaje de masa grasa (%MG), contorno de cintura (CC) y glicemia basal. Se estimo tambien la capacidad cardiorrespiratoria. Resultados: la edad promedio fue de 40,32 anos; despues de dieciseis semanas de tratamiento integral las variables de estudio mejoraron significativamente (p. ",26667705,EFECTIVIDAD DEL TRATAMIENTO INTEGRAL SOBRE LAS CONDICIONES PREOPERATORIAS DE MUJERES OBESAS CANDIDATAS A CIRUGÍA BARIÁTRICA.
39,,25892605,Ventilación mecánica no invasiva en el postoperatorio. Revisión clínica.
